"0","Country","Country_code","Series","Series_code","Year","Number"
"3497","Arab World","ARB","GDP per capita (current US$)","NY.GDP.PCAP.CD","1985","1585.58793716092"
"3537","Latin America & Caribbean","LCN","GDP per capita (current US$)","NY.GDP.PCAP.CD","1985","1844.40788915217"
"3577","Bangladesh","BGD","GDP per capita (current US$)","NY.GDP.PCAP.CD","1985","239.513836321076"
"3597","Bhutan","BTN","GDP per capita (current US$)","NY.GDP.PCAP.CD","1985","367.193667557235"
"3637","Hong Kong SAR, China","HKG","GDP per capita (current US$)","NY.GDP.PCAP.CD","1985","6542.93153674313"
"3677","Lao PDR","LAO","GDP per capita (current US$)","NY.GDP.PCAP.CD","1985","643.090588972868"
"3717","Philippines","PHL","GDP per capita (current US$)","NY.GDP.PCAP.CD","1985","565.763436058273"
"3737","Pakistan","PAK","GDP per capita (current US$)","NY.GDP.PCAP.CD","1985","337.925444463037"
"3757","Singapore","SGP","GDP per capita (current US$)","NY.GDP.PCAP.CD","1985","6995.10130318793"
"3777","Sri Lanka","LKA","GDP per capita (current US$)","NY.GDP.PCAP.CD","1985","377.642661361738"
"3797","Thailand","THA","GDP per capita (current US$)","NY.GDP.PCAP.CD","1985","747.494146632251"
"3837","Vietnam","VNM","GDP per capita (current US$)","NY.GDP.PCAP.CD","1985","239.428684866897"
"3857","China","CHN","GDP per capita (current US$)","NY.GDP.PCAP.CD","1990","317.88519809917"
"3877","India","IND","GDP per capita (current US$)","NY.GDP.PCAP.CD","1990","375.152019314645"
"3897","Indonesia","IDN","GDP per capita (current US$)","NY.GDP.PCAP.CD","1990","585.001017914384"
"3917","Japan","JPN","GDP per capita (current US$)","NY.GDP.PCAP.CD","1990","25123.6317862131"
"3937","Korea, Rep.","KOR","GDP per capita (current US$)","NY.GDP.PCAP.CD","1990","6642.45121752995"
"3957","South Asia","SAS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1990","363.656339094584"
"3977","North America","NAC","GDP per capita (current US$)","NY.GDP.PCAP.CD","1990","23696.3712717686"
"3997","World","WLD","GDP per capita (current US$)","NY.GDP.PCAP.CD","1990","4262.08578279162"
"4017","Middle East & North Africa","MEA","GDP per capita (current US$)","NY.GDP.PCAP.CD","1990","2136.21857571434"
"4037","Sub-Saharan Africa","SSF","GDP per capita (current US$)","NY.GDP.PCAP.CD","1990","589.43011509299"
"4057","Low income","LIC","GDP per capita (current US$)","NY.GDP.PCAP.CD","1990","292.548472782367"
"4077","Europe & Central Asia","ECS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1990","10457.2008668577"
"4097","European Union","EUU","GDP per capita (current US$)","NY.GDP.PCAP.CD","1990","15854.6590243839"
"4117","East Asia & Pacific","EAS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1990","2585.45236112792"
"4137","Arab World","ARB","GDP per capita (current US$)","NY.GDP.PCAP.CD","1990","2007.89203906376"
"4157","Central Europe and the Baltics","CEB","GDP per capita (current US$)","NY.GDP.PCAP.CD","1990","2312.62764467905"
"4177","Latin America & Caribbean","LCN","GDP per capita (current US$)","NY.GDP.PCAP.CD","1990","2618.41746949303"
"4217","Bangladesh","BGD","GDP per capita (current US$)","NY.GDP.PCAP.CD","1990","298.144991987964"
"4237","Bhutan","BTN","GDP per capita (current US$)","NY.GDP.PCAP.CD","1990","559.821618551415"
"4277","Hong Kong SAR, China","HKG","GDP per capita (current US$)","NY.GDP.PCAP.CD","1990","13485.5448929565"
"4317","Lao PDR","LAO","GDP per capita (current US$)","NY.GDP.PCAP.CD","1990","203.764751009607"
"4357","Philippines","PHL","GDP per capita (current US$)","NY.GDP.PCAP.CD","1990","715.310677678566"
"4377","Pakistan","PAK","GDP per capita (current US$)","NY.GDP.PCAP.CD","1990","371.817700867082"
"4397","Singapore","SGP","GDP per capita (current US$)","NY.GDP.PCAP.CD","1990","11864.2802127196"
"4417","Sri Lanka","LKA","GDP per capita (current US$)","NY.GDP.PCAP.CD","1990","470.344956859125"
"4437","Thailand","THA","GDP per capita (current US$)","NY.GDP.PCAP.CD","1990","1508.28569401057"
"4477","Vietnam","VNM","GDP per capita (current US$)","NY.GDP.PCAP.CD","1990","98.0318690725069"
"4497","China","CHN","GDP per capita (current US$)","NY.GDP.PCAP.CD","1995","609.656765306952"
"4517","India","IND","GDP per capita (current US$)","NY.GDP.PCAP.CD","1995","381.527462218128"
"4537","Indonesia","IDN","GDP per capita (current US$)","NY.GDP.PCAP.CD","1995","1026.27053333905"
"4557","Japan","JPN","GDP per capita (current US$)","NY.GDP.PCAP.CD","1995","42522.0665906054"
"4577","Korea, Rep.","KOR","GDP per capita (current US$)","NY.GDP.PCAP.CD","1995","12403.913223896"
"4597","South Asia","SAS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1995","385.381345924333"
"4617","North America","NAC","GDP per capita (current US$)","NY.GDP.PCAP.CD","1995","27968.7292095918"
"4637","World","WLD","GDP per capita (current US$)","NY.GDP.PCAP.CD","1995","5386.13201642329"
"4657","Middle East & North Africa","MEA","GDP per capita (current US$)","NY.GDP.PCAP.CD","1995","2482.6286840139"
"4677","Sub-Saharan Africa","SSF","GDP per capita (current US$)","NY.GDP.PCAP.CD","1995","577.772464212439"
"4697","Low income","LIC","GDP per capita (current US$)","NY.GDP.PCAP.CD","1995","227.311573256336"
"4717","Europe & Central Asia","ECS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1995","12648.4514266874"
"4737","European Union","EUU","GDP per capita (current US$)","NY.GDP.PCAP.CD","1995","19859.2551254336"
"4757","East Asia & Pacific","EAS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1995","4217.33940373015"
"4777","Arab World","ARB","GDP per capita (current US$)","NY.GDP.PCAP.CD","1995","2069.89190570418"
"4797","Central Europe and the Baltics","CEB","GDP per capita (current US$)","NY.GDP.PCAP.CD","1995","3512.9057677993"
"4817","Latin America & Caribbean","LCN","GDP per capita (current US$)","NY.GDP.PCAP.CD","1995","3931.94028199895"
"4857","Bangladesh","BGD","GDP per capita (current US$)","NY.GDP.PCAP.CD","1995","320.36192771435"
"4877","Bhutan","BTN","GDP per capita (current US$)","NY.GDP.PCAP.CD","1995","595.510413390228"
"4897","Cambodia","KHM","GDP per capita (current US$)","NY.GDP.PCAP.CD","1995","321.774639831393"
"4917","Hong Kong SAR, China","HKG","GDP per capita (current US$)","NY.GDP.PCAP.CD","1995","23497.4923138193"
"4957","Lao PDR","LAO","GDP per capita (current US$)","NY.GDP.PCAP.CD","1995","363.033830832731"
"4997","Philippines","PHL","GDP per capita (current US$)","NY.GDP.PCAP.CD","1995","1061.34789866757"
"5017","Pakistan","PAK","GDP per capita (current US$)","NY.GDP.PCAP.CD","1995","494.585208511459"
"5037","Singapore","SGP","GDP per capita (current US$)","NY.GDP.PCAP.CD","1995","24936.8308288424"
"5057","Sri Lanka","LKA","GDP per capita (current US$)","NY.GDP.PCAP.CD","1995","720.908352383291"
"5077","Thailand","THA","GDP per capita (current US$)","NY.GDP.PCAP.CD","1995","2856.24639161311"
"5117","Vietnam","VNM","GDP per capita (current US$)","NY.GDP.PCAP.CD","1995","288.020277990281"
"5137","China","CHN","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","959.372108105392"
"5157","India","IND","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","452.413584669676"
"5177","Indonesia","IDN","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","780.092078086415"
"5197","Japan","JPN","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","37299.6441291293"
"5217","Korea, Rep.","KOR","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","11947.5772472444"
"5237","South Asia","SAS","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","453.994640878191"
"5257","North America","NAC","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","35242.0641955061"
"5277","World","WLD","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","5460.10926902833"
"5297","Middle East & North Africa","MEA","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","3065.51520306914"
"5317","Sub-Saharan Africa","SSF","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","551.049748912929"
"5337","Low income","LIC","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","267.527151833564"
"5357","Europe & Central Asia","ECS","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","11606.4966712026"
"5377","European Union","EUU","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","18240.8866963413"
"5397","East Asia & Pacific","EAS","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","3971.05539496529"
"5417","Arab World","ARB","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","2608.72487486394"
"5437","Central Europe and the Baltics","CEB","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","3943.98781036991"
"5457","Latin America & Caribbean","LCN","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","4300.83190851258"
"5497","Bangladesh","BGD","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","406.531740491075"
"5517","Bhutan","BTN","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","778.391266016094"
"5537","Cambodia","KHM","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","299.562237635792"
"5557","Hong Kong SAR, China","HKG","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","25756.6637783278"
"5597","Lao PDR","LAO","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","324.019694710462"
"5617","Myanmar","MMR","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","186.807325494388"
"5637","Philippines","PHL","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","1039.70179564153"
"5657","Pakistan","PAK","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","534.915837003883"
"5677","Singapore","SGP","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","23792.6070703118"
"5697","Sri Lanka","LKA","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","875.41217796712"
"5717","Thailand","THA","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","2016.04101466738"
"5737","Timor-Leste","TMP","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","434.379739962346"
"5757","Vietnam","VNM","GDP per capita (current US$)","NY.GDP.PCAP.CD","2000","433.333707823148"
"5777","China","CHN","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","1753.41780007468"
"5797","India","IND","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","729.000727040133"
"5817","Indonesia","IDN","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","1263.4814411969"
"5837","Japan","JPN","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","35781.1700525965"
"5857","Korea, Rep.","KOR","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","18657.5212532106"
"5877","South Asia","SAS","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","697.554232070102"
"5897","North America","NAC","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","43514.0819225872"
"5917","World","WLD","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","7247.19145283087"
"5937","Middle East & North Africa","MEA","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","4395.50891246871"
"5957","Sub-Saharan Africa","SSF","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","899.495963729717"
"5977","Low income","LIC","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","328.890417158446"
"5997","Europe & Central Asia","ECS","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","19149.9385053799"
"6017","European Union","EUU","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","29073.5341993769"
"6037","East Asia & Pacific","EAS","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","4743.90784818238"
"6057","Arab World","ARB","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","3779.65769700473"
"6077","Central Europe and the Baltics","CEB","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","8336.08240345887"
"6097","Latin America & Caribbean","LCN","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","5056.52551012153"
"6117","Afghanistan","AFG","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","257.175694454209"
"6137","Bangladesh","BGD","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","485.852888073473"
"6157","Bhutan","BTN","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","1257.54864008661"
"6177","Cambodia","KHM","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","472.448855862778"
"6197","Hong Kong SAR, China","HKG","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","26649.750801707"
"6237","Lao PDR","LAO","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","476.162404231053"
"6257","Myanmar","MMR","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","239.812811905624"
"6277","Philippines","PHL","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","1196.53984923829"
"6297","Pakistan","PAK","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","714.036810002771"
"6317","Singapore","SGP","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","29869.8539805446"
"6337","Sri Lanka","LKA","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","1259.8075907972"
"6357","Thailand","THA","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","2874.38627417759"
"6377","Timor-Leste","TMP","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","501.429226481591"
"6397","Vietnam","VNM","GDP per capita (current US$)","NY.GDP.PCAP.CD","2005","699.499777506255"
"6417","China","CHN","GDP per capita (current US$)","NY.GDP.PCAP.CD","2010","4560.5124871009"
"6437","India","IND","GDP per capita (current US$)","NY.GDP.PCAP.CD","2010","1345.7213825728"
"6457","Indonesia","IDN","GDP per capita (current US$)","NY.GDP.PCAP.CD","2010","3125.21994505825"
"6477","Japan","JPN","GDP per capita (current US$)","NY.GDP.PCAP.CD","2010","42935.2527196828"
"6497","Korea, Rep.","KOR","GDP per capita (current US$)","NY.GDP.PCAP.CD","2010","22151.2088921324"
"6517","South Asia","SAS","GDP per capita (current US$)","NY.GDP.PCAP.CD","2010","1253.66029127345"
