"","Year","Country","Production","Number"
"182","005","Indonesia","EmployIndustry","18.7000007629395"
"183","010","Indonesia","EmployIndustry","19.2999992370605"
"184","015","Indonesia","EmployIndustry","0"
"185","960","Indonesia","EmployIndustry","0"
"186","965","Indonesia","EmployIndustry","0"
"187","970","Indonesia","EmployIndustry","0"
"188","975","Indonesia","EmployIndustry","0"
"189","980","Indonesia","EmployIndustry","13.1000003814697"
"190","985","Indonesia","EmployIndustry","13.3999996185303"
"191","990","Indonesia","EmployIndustry","13.6999998092651"
"192","995","Indonesia","EmployIndustry","18.3999996185303"
"193","000","Japan","EmployIndustry","31.2000007629395"
"194","005","Japan","EmployIndustry","28.3999996185303"
"195","010","Japan","EmployIndustry","25.3999996185303"
"196","015","Japan","EmployIndustry","0"
"197","960","Japan","EmployIndustry","0"
"198","965","Japan","EmployIndustry","0"
"199","970","Japan","EmployIndustry","0"
"200","975","Japan","EmployIndustry","0"
"201","980","Japan","EmployIndustry","35.2999992370605"
"202","985","Japan","EmployIndustry","34.9000015258789"
"203","990","Japan","EmployIndustry","34.0999984741211"
"204","995","Japan","EmployIndustry","33.5999984741211"
"205","000","Korea, Rep.","EmployIndustry","28.1000003814697"
"206","005","Korea, Rep.","EmployIndustry","26.7999992370605"
"207","010","Korea, Rep.","EmployIndustry","24.8999996185303"
"208","015","Korea, Rep.","EmployIndustry","0"
"209","960","Korea, Rep.","EmployIndustry","0"
"210","965","Korea, Rep.","EmployIndustry","0"
"211","970","Korea, Rep.","EmployIndustry","0"
"212","975","Korea, Rep.","EmployIndustry","0"
"213","980","Korea, Rep.","EmployIndustry","29"
"214","985","Korea, Rep.","EmployIndustry","30.7999992370605"
"215","990","Korea, Rep.","EmployIndustry","35.4000015258789"
"216","995","Korea, Rep.","EmployIndustry","33.2999992370605"
"217","000","Lao PDR","EmployIndustry","0"
"218","005","Lao PDR","EmployIndustry","0"
"219","010","Lao PDR","EmployIndustry","8.30000019073486"
"220","015","Lao PDR","EmployIndustry","0"
"221","960","Lao PDR","EmployIndustry","0"
"222","965","Lao PDR","EmployIndustry","0"
"223","970","Lao PDR","EmployIndustry","0"
"224","975","Lao PDR","EmployIndustry","0"
"225","980","Lao PDR","EmployIndustry","0"
"226","985","Lao PDR","EmployIndustry","0"
"227","990","Lao PDR","EmployIndustry","0"
"228","995","Lao PDR","EmployIndustry","3.5"
"229","000","Myanmar","EmployIndustry","0"
"230","005","Myanmar","EmployIndustry","0"
"231","010","Myanmar","EmployIndustry","0"
"232","015","Myanmar","EmployIndustry","0"
"233","960","Myanmar","EmployIndustry","0"
"234","965","Myanmar","EmployIndustry","0"
"235","970","Myanmar","EmployIndustry","0"
"236","975","Myanmar","EmployIndustry","0"
"237","980","Myanmar","EmployIndustry","9.80000019073486"
"238","985","Myanmar","EmployIndustry","10.6000003814697"
"239","990","Myanmar","EmployIndustry","9.19999980926514"
"240","995","Myanmar","EmployIndustry","0"
